GO_1;SD_2;SD_3;SD_4;GO_5;E_6;SA_7;SA_8;GO_9;GO_10;E_11;SA_12;SA_13;E_14;SA_15;SA_16;E_17;GO_18;GO_19;SA_20;SD_21;E_22;SA_23;E_24;GO_25;SA_26;GO_27;SD_28;SD_29;GO_30;SA_31;SA_32;GO_33;SD_34;GO_35;SD_36;SD_37;GO_38;GO_39;GO_40;E_41;SA_42;E_43;GO_44;SD_45;GO_46;E_47;SD_48;GO_49;SD_50
0.0;1.43;1.56;2.28;1.28;1.61;2.14;2.05;0.9;1.14;1.37;2.15;2.05;1.77;2.61;2.15;1.65;1.22;0.99;2.14;1.56;1.57;2.14;1.75;1.01;2.15;1.14;1.56;1.49;1.51;2.08;2.14;1.16;2.17;1.55;1.56;1.43;1.03;1.17;0.94;1.45;2.08;1.48;1.25;2.23;1.24;1.63;1.49;1.29;1.43
1.43;0.0;0.36;1.12;2.06;0.92;1.07;1.83;2.16;1.07;1.06;0.77;1.65;1.67;1.2;1.29;1.23;2.52;1.1;1.04;0.36;1.19;1.04;1.2;2.0;0.8;1.99;0.36;0.51;1.71;1.59;1.13;1.41;1.42;2.53;0.36;0.0;1.5;1.55;1.94;1.2;1.59;1.2;2.03;0.84;2.12;0.95;0.51;1.15;0.0
1.56;0.36;0.0;0.81;2.1;1.24;0.96;1.66;1.98;1.07;1.22;0.66;1.48;1.78;1.1;1.12;1.93;2.57;0.98;0.93;0.0;1.11;0.93;1.12;2.08;0.69;2.22;0.0;0.49;2.1;1.42;1.02;1.26;1.05;2.31;0.0;0.36;1.38;1.68;1.99;1.75;1.42;1.31;2.01;1.0;1.98;1.12;0.49;1.11;0.36
2.28;1.12;0.81;-0.0;2.98;2.41;1.58;1.96;2.98;1.45;2.54;1.18;1.78;2.7;0.76;1.42;3.57;3.46;1.49;1.53;0.81;1.77;1.53;1.35;2.44;1.18;2.87;0.81;1.12;2.83;1.72;1.68;2.17;0.44;2.9;0.81;1.12;1.89;2.92;3.32;3.59;1.72;2.69;2.61;0.55;3.0;2.27;1.12;1.77;1.12
1.28;2.06;2.1;2.98;-0.0;2.25;3.28;3.03;1.29;1.46;2.08;3.29;3.09;1.96;3.94;3.2;2.42;1.71;1.68;3.28;2.1;2.04;3.28;2.45;1.52;3.29;1.91;2.1;2.28;1.76;3.1;3.28;1.29;3.19;1.13;2.1;2.06;1.59;1.54;1.14;2.23;3.1;2.08;0.65;2.38;1.45;2.24;2.28;1.33;2.06
1.61;0.92;1.24;2.41;2.25;0.0;0.86;2.06;2.04;1.0;0.11;0.86;1.82;0.56;1.8;1.34;0.09;2.63;1.17;0.86;1.24;0.45;0.86;0.51;2.39;0.86;2.39;1.24;1.22;2.47;1.74;0.86;1.05;2.39;2.68;1.24;0.92;1.25;1.33;1.87;0.18;1.74;0.21;2.06;1.92;1.65;0.06;1.22;1.12;0.92
2.14;1.07;0.96;1.58;3.28;0.86;-0.0;0.51;2.8;1.13;0.89;-0.0;0.45;1.47;0.51;0.33;1.31;3.27;1.25;-0.0;0.96;0.71;-0.0;1.12;2.74;-0.0;2.65;0.96;0.93;2.61;0.43;-0.0;1.49;1.56;3.37;0.96;1.07;1.52;1.95;2.93;1.35;0.43;0.96;2.76;1.61;2.41;0.79;0.93;1.26;1.07
2.05;1.83;1.66;1.96;3.03;2.06;0.51;-0.0;2.86;1.24;1.3;0.52;-0.0;2.04;0.5;-0.0;2.07;3.11;1.01;0.52;1.66;1.64;0.52;1.88;2.45;0.52;2.33;1.66;1.69;2.42;-0.0;0.51;1.68;1.98;3.04;1.66;1.83;1.73;2.12;3.26;2.57;-0.0;1.89;2.59;2.05;2.68;1.57;1.69;1.47;1.83
0.9;2.16;1.98;2.98;1.29;2.04;2.8;2.86;0.0;1.59;1.57;2.81;2.86;1.8;3.35;2.86;2.17;1.9;1.31;2.8;1.98;1.86;2.8;2.32;1.21;2.81;1.67;1.98;2.09;1.33;2.86;2.8;1.03;3.1;1.57;1.98;2.16;1.23;1.06;0.82;1.86;2.86;1.73;1.01;2.84;1.23;2.13;2.09;1.02;2.16
1.14;1.07;1.07;1.45;1.46;1.0;1.13;1.24;1.59;0.0;1.21;1.13;1.24;1.33;1.38;1.24;1.3;1.24;0.54;1.13;1.07;0.86;1.13;1.06;1.25;1.13;1.7;1.07;1.03;1.88;1.24;1.13;0.97;1.47;1.6;1.07;1.07;0.66;1.43;1.22;1.4;1.24;1.35;1.69;1.44;1.26;1.01;1.03;1.02;1.07
