ExplorationSID;QuerySID;NbGroAdd;NbGroDel;NbSelAdd;NbSelDel;NbAggAdd;NbAggDel;AggLevel;FilterLevel
GO_1;1;3;0;0;0;2;0;5;0
GO_1;2;0;1;0;0;0;0;2;0
GO_1;3;1;0;0;0;0;0;3;0
GO_1;4;0;2;0;0;0;0;1;0
GO_1;5;2;0;0;0;0;0;3;0
GO_1;6;0;1;0;0;0;0;2;0
GO_1;7;2;0;1;1;0;0;4;1
GO_1;8;0;1;0;0;0;0;3;1
GO_1;9;1;1;1;1;0;0;4;0
GO_1;10;0;0;1;1;0;0;4;1
GO_1;11;0;1;0;0;0;0;3;1
GO_1;12;0;1;0;0;0;0;2;1
GO_1;13;0;1;0;0;0;0;1;1
GO_1;14;1;0;1;0;0;0;3;2
GO_1;15;1;0;0;0;0;0;4;2
GO_1;16;0;1;0;1;0;0;3;1
SD_2;1;1;0;1;0;2;0;1;1
SD_2;2;1;0;0;0;0;0;4;1
SD_2;3;0;1;1;0;0;0;3;2
SD_2;4;0;1;1;1;0;0;2;2
SD_2;5;1;1;0;1;0;0;2;1
SD_2;6;1;0;1;0;0;0;3;2
SD_2;7;1;0;1;1;0;0;4;2
SD_2;8;1;1;0;1;0;0;2;1
SD_2;9;1;0;1;0;0;0;3;2
SD_2;10;1;0;1;1;0;0;4;2
SD_3;1;1;0;1;0;2;0;1;1
SD_3;2;1;0;0;0;0;0;2;1
SD_3;3;1;0;1;0;0;0;3;2
SD_3;4;1;0;1;1;0;0;4;2
SD_3;5;1;1;0;1;0;0;4;1
SD_3;6;0;1;1;0;0;0;3;2
SD_3;7;0;1;1;1;0;0;2;2
SD_3;8;1;1;0;1;0;0;2;1
SD_3;9;1;0;1;0;0;0;3;2
SD_3;10;1;0;1;1;0;0;4;2
SD_4;1;0;0;0;0;2;0;0;0
SD_4;2;1;0;0;0;0;0;1;0
SD_4;3;1;0;1;1;0;0;2;1
SD_4;4;1;0;1;1;0;0;3;1
SD_4;5;1;1;1;1;0;0;3;0
SD_4;6;0;1;1;1;0;0;2;1
SD_4;7;0;1;1;1;0;0;1;1
SD_4;8;1;1;1;1;0;0;1;0
SD_4;9;1;0;1;1;0;0;2;1
SD_4;10;1;0;1;1;0;0;3;1
GO_5;1;3;0;0;0;2;0;4;0
GO_5;2;1;1;0;0;0;0;4;0
GO_5;3;1;2;1;1;0;0;3;1
GO_5;4;0;0;1;1;0;0;3;0
GO_5;5;0;1;0;0;0;0;2;0
GO_5;6;1;0;0;0;0;0;3;0
GO_5;7;2;0;0;0;0;0;5;0
GO_5;8;0;1;0;0;0;0;4;0
GO_5;9;1;0;0;0;0;0;5;0
GO_5;10;1;1;0;0;0;0;5;0
GO_5;11;0;1;0;0;0;0;4;0
GO_5;12;1;1;0;0;0;0;4;0
GO_5;13;0;1;0;0;0;0;3;0
GO_5;14;3;0;0;0;0;0;6;0
GO_5;15;0;1;0;0;0;0;5;0
GO_5;16;0;1;0;0;0;0;2;0
GO_5;17;1;1;0;0;0;0;2;0
GO_5;18;0;1;0;0;0;0;1;0
GO_5;19;0;1;0;0;0;0;0;0
GO_5;20;1;0;0;0;0;0;1;0
GO_5;21;1;0;0;0;0;0;3;0
GO_5;22;1;0;0;0;0;0;6;0
E_6;1;1;0;1;0;2;0;1;1
E_6;2;0;0;0;0;0;0;1;1
E_6;3;1;0;1;0;0;0;3;2
E_6;4;1;0;0;0;0;0;4;2
E_6;5;1;0;0;0;0;0;5;2
E_6;6;1;0;1;1;0;0;6;2
E_6;7;1;0;0;0;0;0;7;2
E_6;8;0;0;0;1;0;0;7;1
E_6;9;1;0;0;0;0;0;8;1
E_6;10;0;1;0;0;0;0;7;1
E_6;11;0;0;1;0;0;0;7;2
E_6;12;1;0;0;0;0;0;8;2
E_6;13;0;0;1;0;0;0;8;3
E_6;14;0;0;1;0;0;0;8;4
E_6;15;1;0;0;0;0;0;11;4
E_6;16;1;0;0;0;0;0;12;4
