ExplorationSID;QuerySID;NbGroAdd;NbGroDel;NbSelAdd;NbSelDel;NbAggAdd;NbAggDel;AggLevel;FilterLevel
Foc_A;0;3;0;0;0;1;0;3;0
Foc_A;1;1;0;2;0;0;0;4;2
Foc_A;2;0;0;1;0;0;0;4;3
Foc_A;3;0;0;2;1;0;0;4;4
Foc_A;4;1;0;0;0;0;0;5;4
Foc_A;5;0;0;5;1;0;0;5;8
Foc_A;6;0;1;1;5;0;0;4;4
Foc_A;7;0;1;0;0;0;0;3;4
Foc_A;8;2;0;8;1;0;0;5;19
OscF_B;0;2;0;0;0;1;0;2;0
OscF_B;1;1;1;0;0;0;0;2;0
OscF_B;2;1;0;0;0;0;0;3;0
OscF_B;3;1;1;0;0;0;0;2;0
OscF_B;4;1;1;0;0;0;0;2;0
OscF_B;5;1;1;0;0;0;0;4;0
OscF_B;6;0;1;0;0;0;0;3;0
OscF_B;7;1;0;0;0;0;0;4;0
OscF_B;8;1;1;0;0;0;0;2;0
OscF_B;9;1;1;0;0;0;0;4;0
OscF_B;10;0;1;0;0;0;0;3;0
OscF_B;11;0;1;0;0;0;0;2;0
OscF_B;12;0;0;1;0;0;0;2;1
OscF_B;13;1;0;0;0;0;0;3;1
OscF_B;14;0;1;0;0;0;0;2;1
OscF_B;15;2;0;0;1;0;0;4;0
OscF_B;16;0;1;0;0;0;0;2;0
OscF_B;17;1;0;0;0;0;0;3;0
OscF_B;18;0;1;0;0;0;0;2;0
OscF_B;19;1;1;1;0;0;0;3;1
OscF_B;20;1;1;0;1;0;0;2;0
OscF_B;21;1;0;0;0;0;0;3;0
OscF_B;22;0;0;1;0;0;0;3;1
OscF_B;23;1;0;0;0;0;0;4;1
Foc_C;0;1;0;0;0;1;0;1;0
Foc_C;1;2;0;0;0;0;0;3;0
Foc_C;2;1;0;2;0;0;0;5;2
Foc_C;3;0;1;0;0;0;0;4;2
Foc_C;4;1;0;0;1;0;0;5;1
Foc_C;5;0;1;3;0;0;0;4;4
Fix_D;0;3;0;5;0;1;0;3;5
Fix_D;1;0;0;2;0;0;0;3;7
Fix_D;2;0;0;8;0;0;0;3;15
Fix_D;3;0;0;0;1;0;0;3;14
Fix_D;4;0;0;1;0;0;0;3;15
Fix_D;5;0;0;1;0;0;0;3;16
Fix_D;6;0;0;0;0;0;0;3;16
Foc_E;0;2;0;0;0;1;0;2;0
Foc_E;1;1;0;0;0;0;0;3;0
Foc_E;2;1;0;4;0;0;0;4;4
Foc_E;3;1;0;0;0;0;0;5;4
Foc_E;4;0;0;1;4;0;0;5;1
Foc_E;5;0;0;5;1;0;0;5;5
Osc_F;0;2;0;0;0;1;0;3;0
Osc_F;1;0;2;0;0;0;0;1;0
Osc_F;2;1;0;0;0;0;0;2;0
Osc_F;3;1;1;0;0;0;0;2;0
Osc_F;4;1;1;0;0;0;0;2;0
Osc_F;5;1;1;0;0;0;0;2;0
Osc_F;6;1;1;0;0;0;0;2;0
OscF_G;0;1;0;0;0;1;0;2;0
OscF_G;1;1;0;0;0;0;0;3;0
OscF_G;2;0;1;0;0;0;0;2;0
OscF_G;3;1;0;0;0;0;0;3;0
OscF_G;4;0;0;4;0;0;0;3;4
OscF_G;5;1;0;0;0;0;0;4;4
OscF_G;6;0;0;0;4;0;0;4;0
OscF_G;7;0;1;0;0;0;0;3;0
OscF_G;8;1;0;0;0;0;0;4;0
OscF_G;9;0;0;0;0;0;0;4;0
OscF_G;10;0;0;4;0;0;0;4;4
OscF_G;11;1;0;0;0;0;0;6;4
OscF_G;12;0;1;0;0;0;0;5;4
OscF_G;13;0;0;1;0;0;0;5;5
OscF_G;14;1;0;0;0;0;0;6;5
Foc_H;0;3;0;0;0;1;0;3;0
Foc_H;1;1;0;1;0;0;0;4;1
Foc_H;2;0;1;0;0;0;0;3;1
Foc_H;3;0;0;0;0;0;0;3;1
Foc_H;4;1;0;0;0;0;0;4;1
Foc_H;5;0;0;2;0;0;0;4;3
Foc_H;6;1;0;7;1;0;0;5;23
Foc_I;0;2;0;0;0;1;0;2;0
Foc_I;1;1;0;2;0;0;0;3;2
Foc_I;2;1;0;2;0;0;0;4;4
Foc_I;3;0;0;1;0;0;0;4;5
Foc_I;4;0;0;0;0;0;0;4;5
Foc_I;5;0;0;1;1;0;0;4;5
Foc_I;6;0;0;2;2;0;0;4;5
Foc_I;7;0;0;1;1;0;0;4;5
Foc_I;8;0;0;0;0;0;0;4;5
Foc_I;9;0;0;1;1;0;0;4;5
OscF_J;0;4;0;0;0;4;0;4;0
OscF_J;1;0;3;0;0;0;0;1;0
OscF_J;2;1;0;0;0;0;0;2;0
OscF_J;3;0;0;0;0;0;0;2;0
OscF_J;4;1;1;0;0;0;0;2;0
OscF_J;5;1;0;0;0;0;0;3;0
OscF_J;6;1;0;3;0;0;0;4;3
Foc_K;0;2;0;0;0;3;0;2;0
Foc_K;1;1;0;1;0;0;0;3;1
Foc_K;2;1;0;0;0;0;0;4;1
Foc_K;3;0;0;1;1;0;0;4;1
Foc_K;4;0;1;1;1;0;0;2;1
Foc_K;5;1;0;0;0;0;0;4;1
Foc_K;6;0;0;1;0;0;0;4;2
Foc_K;7;0;0;1;2;0;0;4;1
Foc_K;8;1;0;0;0;0;0;5;1
Foc_K;9;0;0;1;0;0;0;5;2
Foc_K;10;0;1;0;0;0;0;4;2
Foc_K;11;0;0;0;0;0;0;4;2
Foc_L;0;1;0;0;0;4;0;1;0
Foc_L;1;1;0;0;0;0;0;2;0
Foc_L;2;1;0;0;0;0;0;3;0
Foc_L;3;0;1;0;0;0;0;2;0
Foc_M;0;3;0;0;0;2;0;3;0
Foc_M;1;1;0;3;0;0;0;4;3
Foc_M;2;1;0;4;0;0;0;5;7
Foc_M;3;0;0;0;0;0;0;5;7
Foc_M;4;0;0;0;3;0;0;5;4
Foc_M;5;1;0;2;0;0;0;6;6
Foc_M;6;1;0;2;2;0;0;7;6
Fix_N;0;3;0;5;0;1;0;5;5
Fix_N;1;0;0;0;3;0;0;5;2
Fix_N;2;0;0;1;0;0;0;5;3
Fix_N;3;0;1;0;0;0;0;4;3
Fix_N;4;1;0;0;0;0;0;5;3
Fix_N;5;0;0;0;0;0;0;5;3
Fix_N;6;0;0;0;1;0;0;5;2
Osc_O;0;3;0;0;0;4;0;4;0
Osc_O;1;0;1;0;0;0;0;3;0
Osc_O;2;1;0;2;0;0;0;4;2
Osc_O;3;0;0;0;1;0;0;4;1
Osc_O;4;0;1;0;0;0;1;3;1
Osc_O;5;0;0;0;0;0;1;3;1
Atyp_P;0;0;0;0;0;1;0;0;0
Atyp_P;1;0;0;0;0;3;1;0;0
