ExplorationSID;QuerySID;NbGroAdd;NbGroDel;NbSelAdd;NbSelDel;NbAggAdd;NbAggDel;AggLevel;FilterLevel
1;1;2;0;0;0;1;0;3;0
1;2;0;0;0;0;0;0;3;0
1;3;0;0;0;0;0;0;3;0
1;4;0;0;0;0;0;0;3;0
1;5;0;0;0;0;0;0;3;0
1;6;0;0;0;0;0;0;3;0
1;7;0;0;0;0;0;0;3;0
1;8;0;0;0;0;0;0;3;0
1;9;0;0;0;0;0;0;3;0
1;10;0;0;0;0;0;0;3;0
1;11;0;0;0;0;0;0;3;0
1;12;0;0;0;0;1;1;3;0
1;13;0;0;0;0;1;1;3;0
1;14;0;0;0;0;0;0;3;0
1;15;0;0;0;0;1;1;3;0
1;16;0;0;0;0;1;1;3;0
1;17;0;0;0;0;1;1;3;0
1;18;0;0;0;0;0;0;3;0
1;19;0;0;0;0;1;0;3;0
1;20;0;0;0;0;0;1;3;0
1;21;0;0;0;0;1;1;3;0
1;22;0;1;0;0;1;1;1;0
1;23;0;0;0;0;1;0;1;0
1;24;1;0;0;0;0;0;4;0
1;25;0;0;0;0;0;0;4;0
1;26;0;0;0;0;0;0;4;0
1;27;0;0;0;0;0;0;4;0
1;28;0;0;1;0;0;0;4;1
1;29;0;0;0;0;0;0;4;1
1;30;0;0;0;0;0;0;4;1
1;31;0;0;8;0;0;0;4;9
1;32;0;0;0;0;1;0;4;9
1;33;0;0;0;0;0;0;4;9
1;34;0;0;0;0;0;1;4;9
1;35;0;0;0;0;1;0;4;9
1;36;0;0;0;0;0;1;4;9
1;37;0;0;0;0;0;0;4;9
1;38;0;0;0;0;1;0;4;9
1;39;0;0;0;0;0;0;4;9
1;40;0;0;0;0;0;0;4;9
1;41;0;0;0;7;0;0;4;2
1;42;1;0;0;0;0;0;6;2
1;43;0;0;0;0;0;0;6;2
1;44;0;0;0;0;0;0;6;2
1;45;0;0;0;0;0;0;6;2
1;46;1;1;0;0;0;0;7;2
1;47;0;0;0;0;0;0;7;2
1;48;0;0;0;0;0;0;7;2
1;49;0;0;0;1;0;0;7;1
1;50;0;1;0;1;0;0;3;0
1;51;0;1;0;0;0;0;1;0
1;52;0;0;0;0;0;0;1;0
1;53;0;0;0;0;0;1;1;0
2;54;1;0;0;0;1;0;2;0
2;55;0;0;0;0;0;0;2;0
2;56;1;0;0;0;0;0;3;0
2;57;1;1;0;0;0;0;2;0
2;58;1;0;0;0;0;0;3;0
2;59;0;0;0;0;0;0;3;0
2;60;0;1;0;0;0;0;2;0
2;61;0;0;1;0;0;0;2;1
2;62;0;0;0;0;0;0;2;1
2;63;0;0;0;0;0;0;2;1
2;64;0;0;0;1;0;0;2;0
2;65;1;0;0;0;0;0;3;0
2;66;0;0;0;0;0;0;3;0
2;67;0;0;0;0;0;0;3;0
2;68;1;0;0;0;0;0;5;0
2;69;0;1;0;0;0;0;4;0
2;70;0;0;0;0;0;0;4;0
2;71;0;0;0;0;0;0;4;0
2;72;0;1;0;0;0;0;3;0
2;73;0;0;0;0;0;0;3;0
2;74;1;0;0;0;0;0;4;0
2;75;0;0;0;0;0;0;4;0
2;76;0;0;0;0;0;0;4;0
2;77;0;0;2;0;0;0;4;2
2;78;0;0;0;0;0;0;4;2
2;79;0;0;0;0;0;0;4;2
2;80;0;0;0;0;0;0;4;2
2;81;1;0;0;0;0;0;7;2
2;82;0;1;0;2;0;0;6;0
2;83;0;0;0;0;0;0;6;0
2;84;0;1;0;0;0;0;5;0
2;85;0;0;0;0;0;0;5;0
2;86;1;0;0;0;0;0;8;0
2;87;0;0;0;0;0;0;8;0
2;88;0;1;0;0;0;0;5;0
2;89;1;0;0;0;0;0;9;0
2;90;0;0;0;0;0;0;9;0
2;91;0;1;0;0;0;0;5;0
2;92;1;0;0;0;0;0;8;0
2;93;0;0;0;0;0;0;8;0
2;94;1;1;0;0;0;0;7;0
2;95;0;1;0;0;0;0;5;0
2;96;0;1;0;0;0;0;3;0
2;97;1;0;0;0;0;0;5;0
2;98;0;0;0;0;0;0;5;0
2;99;0;0;1;0;0;0;5;1
2;100;0;0;0;0;0;0;5;1
2;101;0;1;0;0;0;0;3;1
2;102;1;1;0;0;0;0;2;1
2;103;1;0;0;0;0;0;5;1
2;104;0;1;0;0;0;0;3;1
2;105;1;0;0;0;0;0;5;1
2;106;0;0;0;0;0;0;5;1
2;107;0;0;0;0;0;0;5;1
2;108;0;1;0;0;0;0;2;1
2;109;1;0;0;0;0;0;5;1
2;110;0;0;0;0;0;0;5;1
2;111;0;0;0;0;0;0;5;1
3;112;1;0;0;0;1;0;3;0
3;113;1;0;0;0;0;0;4;0
3;114;0;1;0;0;0;0;3;0
3;115;1;0;0;0;1;1;5;0
3;116;1;2;0;0;1;1;2;0
3;117;2;1;0;0;1;1;5;0
