ExplorationSID;QuerySID;NbGroAdd;NbGroDel;NbSelAdd;NbSelDel;NbAggAdd;NbAggDel;AggLevel;FilterLevel
1;2;1;0;0;0;0;0;1;0
1;3;1;0;0;0;0;0;2;0
2;4;0;0;0;0;0;0;0;0
2;5;1;0;0;0;1;0;1;0
2;6;1;1;0;0;0;0;1;0
2;7;0;0;0;0;0;1;1;0
2;8;0;0;1;0;0;0;1;1
2;10;0;0;1;1;0;0;1;2
2;12;0;0;1;1;0;0;1;2
2;14;0;0;1;0;0;0;1;3
2;15;0;0;1;1;0;0;1;3
2;16;0;1;1;2;0;0;0;1
2;17;1;0;0;1;1;0;1;0
2;18;0;0;0;0;0;0;1;0
2;25;0;1;1;0;0;1;0;1
2;26;0;0;0;0;0;0;0;1
3;27;0;0;0;0;0;0;0;0
3;28;0;0;1;0;0;0;0;1
3;29;1;0;0;1;1;0;1;0
3;30;1;1;0;0;2;1;1;0
3;31;0;0;1;0;0;2;1;1
3;32;0;1;1;1;0;0;0;1
3;33;0;0;0;0;0;0;0;1
3;34;1;0;0;0;2;0;1;1
4;35;0;0;0;0;0;0;0;0
4;36;0;0;1;0;0;0;0;1
4;37;1;0;0;0;0;0;1;1
4;38;1;1;0;0;1;0;1;1
4;39;0;1;1;1;0;1;0;1
4;40;1;0;0;0;3;0;1;1
5;41;0;0;0;0;0;0;0;0
5;42;0;0;1;0;0;0;0;1
5;43;1;0;0;1;0;0;1;0
5;44;1;1;0;0;2;0;1;0
5;45;0;0;0;0;0;2;1;0
5;46;0;0;1;0;0;0;1;1
6;47;0;0;0;0;0;0;0;0
6;48;1;0;0;0;0;0;1;0
6;49;1;0;0;0;0;0;2;0
6;50;1;0;0;0;0;0;3;0
6;51;0;0;0;0;0;0;3;0
6;52;0;0;0;0;0;0;3;0
6;53;0;0;1;0;0;0;3;1
6;54;0;0;1;1;0;0;3;1
7;55;0;0;0;0;0;0;0;0
7;56;1;0;0;0;0;0;1;0
7;57;1;0;0;0;0;0;2;0
7;58;1;0;0;0;0;0;3;0
7;59;1;0;0;0;0;0;4;0
7;60;1;2;0;0;0;0;3;0
7;62;0;1;1;0;0;0;2;1
7;63;0;2;1;1;0;0;0;1
7;64;0;0;1;1;0;0;0;1
8;65;0;0;0;0;0;0;0;0
8;66;1;0;0;0;0;0;1;0
8;67;1;0;0;0;0;0;2;0
8;68;0;0;0;0;0;0;2;0
8;69;0;0;0;0;0;0;2;0
8;70;0;0;0;0;0;0;2;0
8;71;0;0;0;0;0;0;2;0
8;72;0;0;0;0;0;0;2;0
8;73;0;2;1;0;0;0;0;1
8;74;0;0;1;0;0;0;0;2
8;75;0;0;0;0;0;0;0;2
8;76;0;0;0;0;0;0;0;2
8;77;0;0;0;0;0;0;0;2
8;78;0;0;0;0;0;0;0;3
8;79;1;0;0;2;0;0;1;0
8;80;0;0;1;0;0;0;1;1
8;81;0;0;0;0;0;0;1;1
8;82;0;0;0;0;0;0;1;1
8;83;0;1;1;1;0;0;0;1
8;84;0;0;0;0;0;0;0;1
8;85;0;0;1;1;0;0;0;1
8;86;0;0;1;0;0;0;0;2
8;87;0;0;0;1;0;0;0;1
8;88;1;0;0;0;0;0;1;1
8;89;0;1;0;1;0;0;0;0
8;90;1;0;0;0;0;0;1;0
9;91;0;0;0;0;0;0;0;0
9;92;1;0;0;0;0;0;1;0
9;93;1;0;0;0;0;0;2;0
9;94;1;2;0;0;0;0;1;0
9;95;1;1;0;0;3;0;1;0
9;96;0;0;1;0;0;3;1;1
10;97;0;0;0;0;0;0;0;0
10;98;1;0;0;0;0;0;1;0
10;99;1;0;0;0;0;0;2;0
10;100;0;2;1;0;0;0;0;1
10;102;1;0;0;0;4;0;1;1
11;101;0;0;0;0;0;0;0;0
11;103;1;0;0;0;2;0;1;0
11;105;1;0;0;0;0;0;2;0
11;106;1;0;0;0;0;0;3;0
11;107;0;0;0;0;0;2;3;0
11;108;0;0;0;0;2;0;3;0
11;112;0;0;0;0;0;2;3;0
12;109;0;0;0;0;0;0;0;0
12;110;1;0;0;0;0;0;1;0
12;111;1;0;0;0;0;0;2;0
12;114;1;2;0;0;1;0;1;0
12;117;0;0;0;0;2;1;1;0
12;119;0;0;1;0;0;2;1;1
13;113;3;0;0;0;0;0;3;0
14;115;0;0;0;0;0;0;0;0
14;116;1;0;0;0;0;0;1;0
14;118;1;1;0;0;0;0;1;0
14;122;1;1;0;0;0;0;1;0
14;124;1;1;0;0;0;0;1;0
15;120;0;0;0;0;0;0;0;0
15;121;1;0;0;0;0;0;1;0
15;123;0;0;0;0;2;0;1;0
15;125;0;1;1;0;0;2;0;1
15;126;1;0;0;0;0;0;1;1
16;127;0;0;0;0;0;0;0;0
16;128;1;0;0;0;0;0;1;0
16;129;1;0;0;0;0;0;2;0
16;130;0;1;0;0;0;0;1;0
16;131;0;1;0;0;0;0;0;0
17;132;0;0;0;0;0;0;0;0
17;133;1;0;0;0;0;0;1;0
17;134;1;1;0;0;0;0;1;0
17;135;1;0;0;0;0;0;2;0
17;137;0;2;1;0;0;0;0;1
17;138;1;0;0;0;0;0;1;1
17;139;1;1;0;1;0;0;1;0
17;140;0;1;1;0;0;0;0;1
17;141;1;0;0;0;0;0;1;1
17;142;0;0;1;0;0;0;1;2
17;143;1;0;0;0;0;0;2;2
18;144;0;0;0;0;0;0;0;0
18;145;1;0;0;0;0;0;1;0
18;146;1;1;0;0;0;0;1;0
18;147;1;0;0;0;0;0;2;0
18;148;1;2;0;0;0;0;1;0
18;149;0;0;0;0;4;0;1;0
19;150;0;0;0;0;0;0;0;0
19;151;1;0;0;0;0;0;1;0
19;152;0;0;0;0;0;0;1;0
19;153;0;0;0;0;0;0;1;0
19;154;0;0;0;0;0;0;1;0
19;155;1;1;0;0;0;0;1;0
19;156;1;0;0;0;0;0;2;0
19;157;1;2;0;0;1;0;1;0
19;158;0;0;0;0;0;0;1;0
19;159;0;1;1;0;0;1;0;1
19;160;0;0;0;1;0;0;0;0
19;161;1;0;0;0;2;0;1;0
19;162;0;0;0;0;0;1;1;0
19;163;0;0;0;0;0;1;1;0
19;164;0;0;0;0;0;0;1;0
19;165;0;0;0;0;0;0;1;0
19;166;0;0;0;0;1;0;1;0
19;167;0;0;0;0;0;1;1;0
19;168;0;0;0;0;0;0;1;0
19;169;0;1;1;0;0;0;0;1
19;170;1;0;0;1;0;0;1;0
19;171;1;1;0;0;1;0;1;0
19;172;0;1;1;0;0;1;0;1
19;173;1;0;0;0;1;0;1;1
19;174;0;1;0;1;0;1;0;0
19;175;0;0;0;0;0;0;0;0
19;176;0;0;1;0;0;0;0;1
19;177;1;0;0;1;2;0;1;0
19;178;0;1;0;0;0;2;0;0
19;179;0;0;0;0;0;0;0;0
19;180;0;0;0;0;0;0;0;0
19;181;0;0;0;0;0;0;0;0
19;182;0;0;0;0;0;0;0;0
19;183;0;0;0;0;0;0;0;0
19;184;0;0;0;0;0;0;0;0
19;185;0;0;0;0;0;0;0;0
19;186;0;0;0;0;0;0;0;0
19;187;0;0;0;0;0;0;0;0
19;188;0;0;0;0;0;0;0;0
19;189;0;0;0;0;0;0;0;0
19;190;0;0;0;0;0;0;0;0
19;191;0;0;0;0;0;0;0;0
20;192;0;0;0;0;0;0;0;0
20;193;0;0;0;0;0;0;0;0
20;194;0;0;0;0;0;0;0;0
20;195;0;0;0;0;0;0;0;0
21;196;0;0;0;0;0;0;0;0
21;197;1;0;0;0;0;0;1;0
21;198;0;1;1;0;0;0;0;1
21;199;0;0;1;0;0;0;0;2
21;200;1;0;0;0;0;0;1;2
21;201;1;0;0;0;0;0;2;2
21;202;1;2;0;1;2;0;1;1
21;203;0;0;1;0;0;2;1;2
21;204;0;1;1;2;0;0;0;1
21;205;1;0;0;0;3;0;1;1
21;206;0;0;0;0;0;3;1;1
21;207;0;0;0;0;0;0;1;1
21;208;0;0;1;0;0;0;1;2
21;209;0;0;0;1;0;0;1;1
21;210;0;0;0;0;0;0;1;1
21;211;0;0;0;0;0;0;1;1
21;212;1;1;0;0;0;0;1;1
21;213;0;0;1;0;0;0;1;2
21;214;0;1;1;2;0;0;0;1
21;215;1;0;0;1;0;0;1;0
21;216;0;0;1;0;0;0;1;1
22;217;0;0;0;0;0;0;0;0
22;218;0;0;1;0;0;0;0;1
22;219;0;0;1;0;0;0;0;2
22;220;0;0;0;0;0;0;0;2
22;221;0;0;0;1;0;0;0;1
22;222;0;0;1;1;0;0;0;1
22;223;1;0;0;0;1;0;1;1
22;224;0;0;0;0;0;1;1;1
22;225;0;0;0;0;0;0;1;1
22;226;0;0;0;0;0;0;1;1
22;227;0;1;0;0;0;0;0;1
22;228;0;0;1;1;0;0;0;1
22;229;0;0;1;1;0;0;0;1
22;230;0;0;1;1;0;0;0;1
22;231;1;0;0;0;0;0;1;1
22;232;0;1;1;1;0;0;0;1
22;233;0;0;1;0;0;0;0;2
22;234;0;0;1;0;0;0;0;3
22;235;0;0;0;0;0;0;0;4
22;236;0;0;1;2;0;0;0;2
22;237;0;0;0;0;0;0;0;2
22;238;0;0;0;1;0;0;0;1
22;239;0;0;1;1;0;0;0;1
22;240;0;0;1;0;0;0;0;2
23;241;0;0;0;0;0;0;0;0
23;242;0;0;1;0;0;0;0;1
23;243;0;0;0;0;0;0;0;1
23;244;0;0;1;0;0;0;0;2
23;245;0;0;1;2;0;0;0;1
23;247;0;0;2;1;0;0;0;2
23;248;1;0;0;0;1;0;1;2
23;249;0;0;0;0;0;1;1;2
23;250;0;1;1;2;0;0;0;1
23;251;0;0;1;0;0;0;0;2
23;252;0;0;1;2;0;0;0;1
23;253;1;0;0;0;1;0;1;1
23;255;0;0;1;0;0;1;1;2
24;258;0;0;1;0;0;0;0;1
25;259;0;0;0;0;0;0;0;0
25;260;0;0;1;0;0;0;0;1
25;261;0;0;1;1;0;0;0;1
26;262;0;0;0;0;0;0;0;0
27;263;0;0;0;0;0;0;0;0
27;264;0;0;1;0;0;0;0;1
27;265;0;0;1;1;0;0;0;1
27;266;0;0;1;1;0;0;0;1
27;267;1;0;0;0;0;0;1;1
27;268;0;0;0;0;0;0;1;1
27;269;0;1;1;1;0;0;0;1
27;270;0;0;0;0;0;0;0;1
27;271;0;0;0;0;0;0;0;1
29;272;0;0;0;0;0;0;0;0
29;273;0;0;1;0;0;0;0;1
29;274;0;0;0;0;0;0;0;1
29;275;0;0;0;0;0;0;0;1
29;276;0;0;0;0;0;0;0;1
29;277;0;0;0;0;0;0;0;1
29;278;0;0;0;0;0;0;0;1
29;279;0;0;0;0;0;0;0;1
29;280;0;0;0;0;0;0;0;1
30;281;0;0;0;0;0;0;0;0
30;282;0;0;1;0;0;0;0;1
30;283;0;0;1;0;0;0;0;2
30;284;0;0;1;1;0;0;0;2
30;285;0;0;1;1;0;0;0;2
30;286;0;0;0;1;0;0;0;1
30;287;1;0;0;0;0;0;1;1
30;288;0;1;1;1;0;0;0;1
30;289;0;0;1;1;0;0;0;1
30;290;0;0;1;1;0;0;0;1
30;291;0;0;1;0;0;0;0;2
30;292;0;0;1;1;0;0;0;2
30;293;0;0;1;0;0;0;0;3
30;294;0;0;1;3;0;0;0;1
30;295;0;0;1;1;0;0;0;1
30;296;0;0;1;1;0;0;0;1
30;297;1;0;0;1;0;0;1;0
30;298;0;0;1;0;0;0;1;1
30;299;0;1;0;0;0;0;0;1
30;300;1;0;0;0;0;0;1;1
30;301;0;0;0;0;0;0;1;1
30;302;0;0;1;0;0;0;1;2
30;303;0;0;0;1;0;0;1;1
30;304;1;0;0;0;0;0;2;1
30;305;0;1;1;0;0;0;1;2
30;306;0;0;1;1;0;0;1;2
30;307;0;1;0;1;0;0;0;1
30;308;0;0;0;0;0;0;0;1
30;309;0;0;0;0;0;0;0;1
30;310;0;0;0;0;0;0;0;1
